institution_id,institution_title,institution_url,source_page_url,source_page_count,source_page_urls,event_name,description,start_date,end_date,price_type,price_text,confidence,evidence,validation_status,validation_score,validation_reason,validation_checked_url,validation_http_status,validation_checked_at
inst-00002,서울시립미술관,https://sema.seoul.go.kr/,https://sema.seoul.go.kr/kr/whatson/landing,1,https://sema.seoul.go.kr/kr/whatson/landing,서울미디어시티비엔날레,2026/04/09~2026/06/14 | 1 / 4 페이지 | 다음 | 서울미디어시티비엔날레 | 미디어아트를 비롯하여 확장된 방식의 예술을 통해 상상력과 지식의 향유에 주목하는 동시대 미술 축제 | 닫기 | 서울사진축제,2026-04-09,2026-06-14,unknown,,0.88,2026/04/09~2026/06/14 | 1 / 4 페이지 | 다음 | 서울미디어시티비엔날레 | 미디어아트를 비롯하여 확장된 방식의 예술을 통해 상상력과 지식의 향유에 주목하는 동시대 미술 축제 | 닫기 | 서울사진축제,verified,90,"http 200; text extracted; event name match; institution title match; end date match; exhibition keyword; negative signal: 404, 로그인",https://sema.seoul.go.kr/kr/whatson/landing,200,2026-05-02 12:45
inst-00015,한국사립미술관협회,http://www.artmuseums.or.kr/,http://www.artmuseums.or.kr/,1,http://www.artmuseums.or.kr/,[(재)한원미술관] 임현경 초대전《...,"2026-04-21 | 회원관 소식 | more ▶ | [(재)한원미술관] 임현경 초대전《... | 2026-04-27 | 《그 우아한 청송심씨(靑松沈氏)》특별전은 충북대학교박물관과 석주선기념박물관, 쉐마미술관이 협업해 유물을 단순히 보존하고 전시하는 공간을 넘어, 동시대 현대미술 작가들이 남겨진 유물이 말하지 못한 정서의 층위를 확장해 조선 후기 여성사와 복식문화를 재발견하고 지역 정체성과 숨겨진 비물질적 기억의 복원을 시도하는 전시이다. 2003년 청주 산남동 김원택 묘역에서 발굴된 18세기 조선 후기 청송심씨(1683~1718",2026-04-21,,unknown,,0.95,"2026-04-21 | 회원관 소식 | more ▶ | [(재)한원미술관] 임현경 초대전《... | 2026-04-27 | 《그 우아한 청송심씨(靑松沈氏)》특별전은 충북대학교박물관과 석주선기념박물관, 쉐마미술관이 협업해 유물을 단순히 보존하고 전시하는 공간을 넘어, 동시대 현대미술 작가들이 남겨진 유물이 말하지 못한 정서의 층위를 확장해 조선 후기 여성사와 복식문화를 재발견하고 지역 정체성과 숨겨진 비물질적 기억의 복원을 시도하는 전시이다. 2003년 청주 산남동 김원택 묘역에서 발굴된 18세기 조선 후기 청송심씨(1683~1718",verified,90,"http 200; text extracted; event name match; institution title match; start date match; exhibition keyword; negative signal: 404, 로그인",http://www.artmuseums.or.kr/,200,2026-05-02 12:45
inst-00015,한국사립미술관협회,http://www.artmuseums.or.kr/,http://www.artmuseums.or.kr/,1,http://www.artmuseums.or.kr/,[아트린뮤지움]_이영림초대전_채움 ...,[우민아트센터] 2026 프로젝트스... | 2026-04-13 | 채움과 비움전 | [아트린뮤지움]_이영림초대전_채움 ... | 2026-04-09 | 회원관 소개 | more ▶,2026-04-13,,unknown,,0.88,[우민아트센터] 2026 프로젝트스... | 2026-04-13 | 채움과 비움전 | [아트린뮤지움]_이영림초대전_채움 ... | 2026-04-09 | 회원관 소개 | more ▶,needs_review,45,"http 200; text extracted; institution title match; start date match; exhibition keyword; negative signal: 404, 로그인",http://www.artmuseums.or.kr/,200,2026-05-02 12:45
inst-00015,한국사립미술관협회,http://www.artmuseums.or.kr/,http://www.artmuseums.or.kr/,1,http://www.artmuseums.or.kr/,[연합뉴스]조선대 개교 80주년 특별전 '정...,more ▶ | 보도기사 | more ▶ | [연합뉴스]조선대 개교 80주년 특별전 '정... | 2026-04-29 | [서울자치신문]107명의 신예를 배출한 '젊... | 2026-04-29,2026-04-29,,unknown,,0.88,more ▶ | 보도기사 | more ▶ | [연합뉴스]조선대 개교 80주년 특별전 '정... | 2026-04-29 | [서울자치신문]107명의 신예를 배출한 '젊... | 2026-04-29,verified,90,"http 200; text extracted; event name match; institution title match; start date match; exhibition keyword; negative signal: 404, 로그인",http://www.artmuseums.or.kr/,200,2026-05-02 12:45
inst-00015,한국사립미술관협회,http://www.artmuseums.or.kr/,http://www.artmuseums.or.kr/,1,http://www.artmuseums.or.kr/,"[전북도민일보]교동미술관, 박종수 개인전 ‘...","2026-04-29 | [서울자치신문]107명의 신예를 배출한 '젊... | 2026-04-29 | [전북도민일보]교동미술관, 박종수 개인전 ‘... | 2026-04-29 | [진일보]광주 주안미술관, 어린이날 '작은 ... | 2026-04-28",2026-04-29,,unknown,,0.95,"2026-04-29 | [서울자치신문]107명의 신예를 배출한 '젊... | 2026-04-29 | [전북도민일보]교동미술관, 박종수 개인전 ‘... | 2026-04-29 | [진일보]광주 주안미술관, 어린이날 '작은 ... | 2026-04-28",verified,90,"http 200; text extracted; event name match; institution title match; start date match; exhibition keyword; negative signal: 404, 로그인",http://www.artmuseums.or.kr/,200,2026-05-02 12:45
inst-00017,상업화랑 용산,http://sahngupgallery.com/,http://sahngupgallery.com/webzine03-3,1,http://sahngupgallery.com/webzine03-3,"상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13","6-8월 상업화랑 및 | 전속작가 전시 소식 | The Preview 한남 현장스케치 | 상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13 | 상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13 | 상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13 | 상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13",2021-06-10,,unknown,,0.95,"6-8월 상업화랑 및 | 전속작가 전시 소식 | The Preview 한남 현장스케치 | 상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13 | 상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13 | 상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13 | 상업화랑, 《LINE-UP》, 더프리뷰 아트페어 전시장면, 2021.6.10-13",verified,80,"http 200; text extracted; event name match; institution title match; exhibition keyword; negative signal: 404, 로그인, 권한",http://sahngupgallery.com/webzine03-3,200,2026-05-02 12:45
inst-00017,상업화랑 용산,http://sahngupgallery.com/,http://sahngupgallery.com/webzine03-3,1,http://sahngupgallery.com/webzine03-3,"수임, 《Meet The Artist》 전시장면, 2021.6.9.","상업화랑은 아트페어 <The Preview 한남> Part 1(2021.6.10-13)에 참여해, 주목할만한 신진작가 11인의 “LINE-UP""을 선보였습니다. 신진작가의 미술시장 진입을 도모하며 새롭게 시작한 <The Preview>의 취지에 맞추어, 드로잉, 회화, 조각, 도자, 일러스트, 실크스크린, 가구 디자인 등 시각예술 전 장르의 작가들과 함께 예술과 사물 그리고 관객들이 자유롭게 소통하는 공간을 제공하고자 했습니다. 상업화랑이 참여한 ‘Part 1’은 막을 내렸지만, ‘Part 2’는 블루스퀘어 NEMO에서 6월 20일",2021-06-10,,unknown,,0.84,"상업화랑은 아트페어 <The Preview 한남> Part 1(2021.6.10-13)에 참여해, 주목할만한 신진작가 11인의 “LINE-UP""을 선보였습니다. 신진작가의 미술시장 진입을 도모하며 새롭게 시작한 <The Preview>의 취지에 맞추어, 드로잉, 회화, 조각, 도자, 일러스트, 실크스크린, 가구 디자인 등 시각예술 전 장르의 작가들과 함께 예술과 사물 그리고 관객들이 자유롭게 소통하는 공간을 제공하고자 했습니다. 상업화랑이 참여한 ‘Part 1’은 막을 내렸지만, ‘Part 2’는 블루스퀘어 NEMO에서 6월 20일",verified,80,"http 200; text extracted; event name match; institution title match; exhibition keyword; negative signal: 404, 로그인, 권한",http://sahngupgallery.com/webzine03-3,200,2026-05-02 12:45
inst-00017,상업화랑 용산,http://sahngupgallery.com/,http://sahngupgallery.com/webzine03-3,1,http://sahngupgallery.com/webzine03-3,"수임, 《Meet The Artist》 전시장면, 2021.6.9.","*상업화랑 부스 참여작가: 김라연, 김은주, 박준형, 수임, 안수인, 유지오, 이민재, 조혜연, 허창범, 조민제, 최홍영 | 수임 작가 Meet The Artist 선정 | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 상업화랑 부스의 ‘수임’ 작가가 <The Preview 한남>의 특별 부스에서",2021-06-09,,unknown,,0.84,"*상업화랑 부스 참여작가: 김라연, 김은주, 박준형, 수임, 안수인, 유지오, 이민재, 조혜연, 허창범, 조민제, 최홍영 | 수임 작가 Meet The Artist 선정 | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 상업화랑 부스의 ‘수임’ 작가가 <The Preview 한남>의 특별 부스에서",verified,80,"http 200; text extracted; event name match; institution title match; exhibition keyword; negative signal: 404, 로그인, 권한",http://sahngupgallery.com/webzine03-3,200,2026-05-02 12:45
inst-00017,상업화랑 용산,http://sahngupgallery.com/,http://sahngupgallery.com/webzine03-3,1,http://sahngupgallery.com/webzine03-3,상업화랑 부스의 ‘수임’ 작가가 <The Preview 한남>의 특별 부스에서 진행한 전시 프로그램 ‘Meet The Artist’의 첫 작가로 선정되어 6월 9일 (수) 솔로 전시를 진행했습니다.,"수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 상업화랑 부스의 ‘수임’ 작가가 <The Preview 한남>의 특별 부스에서 진행한 전시 프로그램 ‘Meet The Artist’의 첫 작가로 선정되어 6월 9일 (수) 솔로 전시를 진행했습니다. | 수임(b.1993)은 자연과 인간의 정신에서 받은 영감을 바탕으로 페인팅, 드로잉, 판화로 제작된 한정 수량의 프린팅 작",2021-06-09,,unknown,,0.84,"수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 수임, 《Meet The Artist》 전시장면, 2021.6.9. | 상업화랑 부스의 ‘수임’ 작가가 <The Preview 한남>의 특별 부스에서 진행한 전시 프로그램 ‘Meet The Artist’의 첫 작가로 선정되어 6월 9일 (수) 솔로 전시를 진행했습니다. | 수임(b.1993)은 자연과 인간의 정신에서 받은 영감을 바탕으로 페인팅, 드로잉, 판화로 제작된 한정 수량의 프린팅 작",verified,80,"http 200; text extracted; event name match; institution title match; exhibition keyword; negative signal: 404, 로그인, 권한",http://sahngupgallery.com/webzine03-3,200,2026-05-02 12:45
inst-00035,유나이티드 갤러리,http://www.unitedgallery.co.kr/,http://www.unitedgallery.co.kr/,1,http://www.unitedgallery.co.kr/,이일 개인전,작가 | 2026.04.29(Wed) - 2026.05.11(Mon) | Mon - Sat 10am - 7pm / Sun 11am - 6pm | 이일 개인전 | < | 잡초가 숲이 되는 과정> | Ordinary Forest,2026-04-29,,unknown,,0.88,작가 | 2026.04.29(Wed) - 2026.05.11(Mon) | Mon - Sat 10am - 7pm / Sun 11am - 6pm | 이일 개인전 | < | 잡초가 숲이 되는 과정> | Ordinary Forest,verified,115,http 200; text extracted; event name match; institution title match; start date match; exhibition keyword,http://www.unitedgallery.co.kr/,200,2026-05-02 12:45
